,close,high,low,open,ticker,vol
2003-12-12,3.1117609293,3.1379101807999996,3.0856116776999998,3.1204773465,SAN,19693856
2003-12-15,3.1204773465,3.1466265981,3.1117609293,3.1466265981,SAN,28339278
2003-12-16,3.1117609293,3.1117609293,3.0681788435,3.1117609293,SAN,28335810
2003-12-17,3.1204773465,3.1204773465,3.0856116776999998,3.1030445122000003,SAN,28604994
2003-12-18,3.1379101807999996,3.1379101807999996,3.1030445122000003,3.1117609293,SAN,27025214
2003-12-19,3.1466265981,3.1466265981,3.1204773465,3.1379101807999996,SAN,40811701
2003-12-22,3.1466265981,3.1466265981,3.1379101807999996,3.1379101807999996,SAN,27224035
2003-12-23,3.1466265981,3.1466265981,3.1466265981,3.1466265981,SAN,20733833
2003-12-29,3.1989251011,3.2076415183999996,3.1466265981,3.1466265981,SAN,21209213
2003-12-30,3.2250743525,3.2425071869,3.1989251011,3.2163579352999996,SAN,25794726
2004-01-02,3.3383877758,3.3383877758,3.2250743525,3.2250743525,SAN,18928197
2004-01-05,3.3558206101,3.3558206101,3.3209549414999997,3.3383877758,SAN,21415092
2004-01-07,3.3209549414999997,3.3819698616000005,3.3209549414999997,3.3819698616000005,SAN,39722293
2004-01-08,3.3122385242,3.3558206101,3.2773728555,3.3558206101,SAN,34579733
2004-01-09,3.3383877758,3.3558206101,3.2337907697,3.3558206101,SAN,34190428
2004-01-12,3.3383877758,3.3383877758,3.2425071869,3.2686564383,SAN,25467480
2004-01-13,3.3122385242,3.3558206101,3.3122385242,3.3558206101,SAN,25720350
2004-01-14,3.2686564383,3.3209549414999997,3.2250743525,3.3122385242,SAN,28782539
2004-01-15,3.2250743525,3.2512236039999998,3.2076415183999996,3.2512236039999998,SAN,31647093
2004-01-16,3.2686564383,3.2860892727,3.2250743525,3.2425071869,SAN,28073709
2004-01-19,3.2250743525,3.3209549414999997,3.2076415183999996,3.2860892727,SAN,20869225
2004-01-20,3.1727758496,3.2250743525,3.1727758496,3.2250743525,SAN,35399683
2004-01-21,3.2076415183999996,3.2076415183999996,3.1727758496,3.1814922666000003,SAN,30201667
2004-01-22,3.3122385242,3.3209549414999997,3.2250743525,3.2425071869,SAN,34364658
2004-01-23,3.3122385242,3.3383877758,3.2773728555,3.3122385242,SAN,17497082
2004-01-26,3.2250743525,3.3296713586,3.2163579352999996,3.3296713586,SAN,38759464
2004-01-27,3.2250743525,3.3383877758,3.2250743525,3.2686564383,SAN,37054270
2004-01-28,3.3122385242,3.3122385242,3.2163579352999996,3.2163579352999996,SAN,24894494
2004-01-29,3.1902086839,3.2337907697,3.1902086839,3.2250743525,SAN,41807785
2004-01-30,3.1727758496,3.2163579352999996,3.1466265981,3.2076415183999996,SAN,41430661
2004-02-02,3.1902086839,3.1902086839,3.1466265981,3.1553430151999997,SAN,26727666
2004-02-03,3.1814922666000003,3.1902086839,3.1466265981,3.1814922666000003,SAN,27692291
2004-02-04,3.1466265981,3.1466265981,3.1379101807999996,3.1466265981,SAN,59955896
2004-02-05,3.1466265981,3.1727758496,3.1466265981,3.1466265981,SAN,27430616
2004-02-06,3.2076415183999996,3.2163579352999996,3.1466265981,3.1466265981,SAN,28233393
2004-02-09,3.2337907697,3.2512236039999998,3.2250743525,3.2250743525,SAN,31937608
2004-02-10,3.2860892727,3.2860892727,3.2250743525,3.2250743525,SAN,50033515
2004-02-11,3.2686564383,3.2773728555,3.2250743525,3.2337907697,SAN,23829098
2004-02-12,3.2773728555,3.3122385242,3.2250743525,3.2686564383,SAN,20326883
